6:a_a_7a__aa_3a_3a_aba_b__aa_3a__a3,s1m10a7m6d2a7m12d2a7m72s3s3d3s2s1a7d2
6:a_a_3a__ab_a_7a__a_aa_b_a_4a_3b_b,s4m10d2m4m10d2s2a5a5s2d2m5a13s1d2a11d3
6:_3a_4b_a_3a_5a_3a_aa_a5_a_3baa,d2s1m15s3m180m6m20a8d3d2s4a9s3a9a7d2m6
6:aaba__a_6a_a4__aa__a_3a__a__a_3a_a,s3d2s3m6s1a6d3d2a7m12m6m12s4a7m144a9d3
6:_b__a__a__a_3a_a__acaa__a__a__b_a__b_a_,d3m15m10s2s3m36m18s1a6a5a7a9s1m216d2
6:a_10a_10a3_babb_aa_a3_a3,a9a5s3s4s1m10a8m15d3d3d3s3m24a10m12s1
6:a__a3_b_a_a_3a_aba_a__a3b_5a__aa_,d2a7m96s4s1d2a17a8m4m24a5m120s3m18
6:a_aa_4b__a__a__b_b_a_6a__b_a_a4__,s3a8a12d2m6m24s1a9a8s1m20m3d2s2s4m36
6:aa_13a__a4__a4__a_3a__aabaa,m3m8m30d3s2a7s2d2d3s4a7s1m6a8a7s2m6
6:b_b_a_4a_3a__a__aa_aa_a6_7a_a,m48m15m5s2d2a8s4a7s2m30s3a5a6d2m144d3
6:_a_a_a3_a_3a_a_aa_a5_3a3_5a_3a,s3d2a11d3a9s1m6a9s1d3a6m24m60m4s3d2
6:aa_a_3a__a_aa_3b__a__a_3a_a_aa_ba_aa__,s1m12a9m20s4d3d2a8m60d3a7d3m5s1s3s2a5
6:aa_aa_3aa_4a_3a3_a_3a_4a_3aa_aa_a_,d2m20a8s2a9a9s4s2a8d2m8m6d3s1m6d2s1m20
6:_a_a_3b_3a_6a_3aa__aa_aaca_3a_3aa,s1d3a5m15m30a9d2a5a9d3s1m18s2m8s4s3d3
6:_3a_4b_5a_4aa_aa_aa_ab_aa_4a_a3,s3m8m15m6m12d2s2a7s1a7d3d2s4a8d2s2a5
6:_aa_a_7a_11ab_a_aa_a4_a5,a11a5s4d3a9s1a5m75d3d3m20d3s1m6s3m20d2
6:_babaa_11aa_baa__a_3a__aba_aa__,s1m18a17m20m4d2a8s1m24a6s4s1d2a8d3d3
6:a_a_a_3a_3a_6a__a_ab_3b__a3_a5,m20a14a3m3d3m20s2s2d3a13d2d3a14m4s2s1
6:_a_a_ab__b_12b__b__a_abaa__a_3a_,m12a12a9d2m30a7s2m15s3m6d2m10d2a9s4d2s1
6:_aa_4a_5a_7a_aab_aa_a_a3__ba3,a8s2d2a14s1d3m12a7m24m12m12a8s3d2s3s1
6:a__b_aa__a__a_aa_aa_3b_a_aa_b_8ba,s1d2a18d2m20m8a12d2m24a7s1s3s2d3m12
6:a__a_5a__a_6a_aa_a_a4_a3__b__ab,s2m5m24d3a8a15m12m20s1m5d2a11d3s1a7s4
6:aa__a_14a__a_3ab_b__a__acabaa,a7d3m30m4s1d2d2m8s3s3d2a12a18a5s3m24
6:_b_3a_4a_11a7__aa__aa_a4,s1a7m15s2d2d3a7s3m30s1d2m24d2m2a15s4a7
6:aa_10ca_3a__a3_aa_aa_aa__a_3a_a_,s4m6a5d3d3a5m15s1s1a15d2a8s1s1m24d3m5
6:a3_3a_4a_6a__a3_aa_a3_b_3a_3b_,s1s4m24a7m6m24m60d2a5a10m5s1s1d2a8s3d2
6:__a_10a_11ababa4_a3_aa_a_,m24s1m18m5s1d3s1m6m6a8a9a6d3a7s4a5d2s2
6:a_3a_4aa__a_10a_aa__c__b__b_aba_,m6d2a7m5a8d2m15a5s2m10s4d2s2s2m4a7s1
6:_aa_4b__a_aa_a_aa_a_a_aa_a_3a_6b__a,a9a7s3a6a9d3s2m30d2s3m6m4s3d2m20m6s3
6:_aa_a__aa_a_4a_3a3__a_6a_a_a_a5,s2m6m48d3a7m5d2m18s2s3d2d2a8m30a5s1a7
6:aa_b_3a__a_7a_aa_aa_3a__a_a4_aa__,s2d2a7d2m20m15a6d2m24s4s3s3a9d3m6d2a5
6:_aa_a__aa_aa_3a__a3__a__a_6a_3a5,a7d2s3a5a9m16m18s4s1a13s4a9d2m3s1m6m6
6:a_aa_3a_6a_4b__a__a_3a5_aa__aa__,a8s3s4d3d3a6s1a9a8s3d2m4m3m15m24d2m2s1
6:a_aa_4a_a_3a_5a_4aa__aa_a_ac__b__a,s3a5m120d2d3m10s2d3d3a5s1a10d2s4a5m10m12
6:_ac_7a_4a_3aaba_3a__aa_a3_a_aa_,m20m6m90d2a9a7d3a9m18s4m6a9s1d3s1s4
6:b__a_7a_a_3a_aa_3b__a3__aa_a_c_b,a10s1s3d3d3s2a6m20m4m15m60a12m24a8s1
6:_a_aa_b__a_a_aa_aabaa__b_a_b__aab_a_,m24s1a6a16d3a8a17m16m432d3s4m15s2
6:_aa_aa_a_a_3a_3aa_baa__a_3a__aa_4a_4,m3d3a5a7s2s2s2d2a5m5s1m6d2s3m30m3d3a6
6:a_a_a_10a_5a_4aa__aba3_aa_baa,a5m30s2s1s3m6a7s2a8m3d3m6a9d2s4m12a8
6:a3_3a_4aa_a__b__aa_3a_3a_aa_a_a_3a__,s1d2d3s2m20d2m18m8s1a8a7a8d2s1m4a9m6s4
6:__aa__a_3a_3a_3a__acca4_11ba,m48a6d3m12d2s2m18s1s4a9d2d2a8m24a10s3
6:_3b_5a_3a_a3_a4b_3a_4aa_a_3a_a,s4m4m18m24s2d2s1d2a8d3a7a6m18a9s2d2s1
6:__aa_a_aa__aa_4a_3b_c__a_3a_3aa__aa__,d3a8d3m8s1s1d3a8m20a10m8d2m12s3s2s1a7
6:a_aa_4a_a3__a_3a_3aa_3b_4a__a__b_b,d3s4m90d2s1s4m15s2d2a5s1m90a7m10a8a5m12
6:a__b_a__aa_a__a_3a_a_aa_a_a_3a__a__a_aa_,m4s1m12d3a8a12s1d3a6s3m15d3s2m10d3d3a9
6:a3_3a__a_aa_a__aa_ab_a_3a_3a_a_3a_aa,a7s4d2a7m15a13s2m36m2s1d3m6m24d2a9s1
6:__aa_a3_aa_9abab__a__a_aa_3a_3a_,d3d2s2a8m10s4d3m15a5m48d3a9a7s1d3s1m6
6:a_aa_11a_a_aa_a_aa_a_aa__a_aa__aa__,s2a5m5a7m30s2d2m2d3s2s1m15s2a5d2m12a7a5
6:a3_aa__aa_11a_a_aa_a_aa__a_3a__aa,a5m15a8d3a9s4s4d2s2m3s3m30s1d3m18d3d2a6
6:b__aa__aa__a_3a__aa__aa__a_5a_3a_a4,m30a9m30a7s3a7s1d3s3m18a9d3s3d2m12s1m4
6:_aa__a_aa_aa_10b__b__a_3a_3a6,d2a6s1m24d3s4m30d2a8a7a5m12m15s3s1s2m4
6:_aa_a_aa_b_3a_3aa_aa_9a_aa__ab_b,d2s4a7a14m24s3a14a7m2d3s2m40s3d2m6s4
6:ba_10a_a_a_3a_3a_aa_3aa_a_aa_baa,a6s1m20d2s1a9a7m2d3s3a9m6d2s3m12m12s4
6:_aa_b__b_4a_4aa_baa__a_3a_4aa__aa__,a5d3s2s1a8m20s4a11s1m24a9d2m24s2m2d3m3
6:_a_3a_4aa_4a_3aaba_3a_4aa_aa_aa_a_,m20a5d3m6d3s1a8d2a9s1d2m20m6s2s2s2a8m4
6:aaba_aa__aa_a__a_a_aa_a_6a_3a6,d2d3a13a10m20s4s2s2d3s3m72m50a6m4d2
6:a__a_5aa__aa_a4_ba4_3a_4a_3a_a,s2s2m3d2m60m36a11s3a9s4a9d3d3m60a5d3
6:_b_3a__ab_a__a__b_ca_b_10b_aa_a_,m24m6s2d3a14s3m48a8d3s2d3d2m20a11s4
6:a_aa_11a_6a_a_a8_aa_bb_,d3s4d2s2a15a6s4d2d3m8m15s1m6m40a7a10
