6:_aa__a_3a__a_7a_aba_a_a_3a__a_a5,m20s3d2s2d3d2a6a9a7a9d2s1m12m48s2s2m4
6:aa_3a_3aa_b_8a_baab_3a__aa__baa,s1d3m6s2a7a6s1m6a11m36m60s1d2a10s3
6:ba_a_13a__ab_aa__a_3a__ba6,m30a6s1a7d3m120s1m6m6a5s2d3d2a10s1s2
6:_a_4a_4a_4a_5a7__ab_aa__baa,d2s3a13s2a7s1a7s1d2m24m6a7s1m8m72d3
6:_a_aa_ba__b__a__aab_a_10a__a_b__b_,s1a5d2s1m6s1d3m5a6a10d2m60s2m90a5d3
6:__a__a_3a_b__a__a__abab__a__a_b_a_3a_a_,s2a15d2s2a7m12m72m6s1a5m30d2m6a7s2s2
6:_3a_20a_aba3ba4_a5,m6d2s1s2d2a8a6d2d3s1a9a8d2m30m12m12s2
6:_a_a_aba_a_3a_abaa_3a_6aa_a__a_3aa,m12m36m4a9m15a8s2a5d2s1s4a13d2s2m24s4
6:a_a_7a3_11abaa_b__abb_aa_a_,a8s2m8m6m6a7m120s2m6a8s1s2s3a8d3a6
6:ba_3a_6a__a_3a_4aa_a_3a_a_aa_abaa,a10s3a9a5s3m5m6s2m6s1m40d2d3d3s1m6a8
6:aa_a_6a_3a_4a_3a_a3ca3_b_3aa__,a9a9d2a8m10m24s1d2s1m12a8d2s1m12d3s4
6:_3a_3a_4a__a3_aa_aa_aa_aa_3a_5b_b,s1d3a6d3m12d2a5d3s2a8m5m60s1s1m6a5s2
6:a4_3a_3b__a__a_4aa_9aa_aacaa,d2m20m10d2s1s1d3a6d3a9a9m120a8s1s1m12
6:_4a_5a_7a_3abaa_baa_a9,a6m75d2s1a16m6s2a9s2a10d3s1m120d2m12
6:_ac_a_ba3_aa_a5_5a_13ab,m36a6a9m160s1a12a8d3d3m8d2s2s2m6s2
6:_3a__a_17a__aacaab__a3caa,d2m60m48d2s4m6s3m6s1a5d3a12a7d3s2a6
6:__a3_a_3a_5a__a__ca3_3abaa__a_3a_,m30a8m72a7d2a9m6a6s1s2s3d3m36d2d3s1
6:a_3a_3ba_a_3a__a3__a_5a_3a_aa_aab_,s1d2a5s2s4m12m10s2m60a5d3a8d2d2s2a6m6
6:_aa_a3_a_3a_4b__b_a__aa_aa_3a_4aa__,s4d2s1m12d2a9m36a7s3a6d3s2m120m15a5m6s1
6:a3_a_6a_3aa_a4_3a_4a_3a_a5_,s2d2m30d3m12s1a6s1a6s2s1d3a9a8m30m24d3
6:a_a_a__a_3a_4a_3a3__a_4aa__a4baa,m18m15a12a7a10a6s2s2m12d3s4a7s2m6m6s3
6:_3a_6a_5a__a6b_aa_a_a_3a__a3,s1d3m6s1s1d2a8d3a9a8d3m50s2d3a10m12m6
6:a_a_a__a_a_a_aa_3a__a_b_4aa_a_ba_baa,m60a10m24m6a6s2m108m8a8a15d2s1s2a6
6:ba_4a__a_10aa__aa_aa_a3_a_3caa,m30m8m72a9s2a7d2d2s1s4a7s1m15s1a5d3
6:_3a_4a_3c_a_a_aacab_c_3aa_4b_a_,a9m12a13s4m30s2d2m160m30m36a14a8d2
6:aa__a_3a_aa_a_6a_ca_3a_3a5baa,m144s1d2m30m6d3s1a11a11a5s4d2m6s1a6
6:aaba3_13a_4aa__a_3a_ab_aa_aa,m6s1s3m12m6a7m6a8d3s1s3d2a9a7d3d2s1
6:__aa_4a_3a_4a_3a__a__b_4b__baacaa,d2a9d2m90m24m20s3s1d3a7m60d3s2a9a6s4
6:a_a_a_3a_3aa__a_aa__aa_4b_4a_3a_baa,d3m4s1m12s1s2a7m12m6d2a8a6a14d2d3s3s4
6:__aa_a_3a_3aa_a__a4ca_11a_baa,d2a10s2m16s1a7s2s1m18s1d2a8m6m18a7d2
6:__aa_a_a_3a_4a__aab_aa_5a_3a4_aa_,a6m15s1s2s3s3d2d2m24a6m36a5a7d3m60s2d3
