6:__aa_a__a_3a_11bab__a_3a_a4_aa_,m6d3a9m6m24s1m12s2s3d2a9d3a5a6s1m2d2s1
6:aa_10b__aa_a3_a_aa__aa__a3_3a__a,s2m36m4d2s3m12a6s3a9s2d2a6m6a5m90s4d2
6:_a_a_3a__a_11a7_a3_a_3a__aa,d2m6s1s1a6m10d2d2m12s3a5s2m6a7a6s1m12d2
6:_aa_5a_3a_a__a_3a_a__aa_a3_a_3a_baa,a7d3s1a7m72m6s2d2s1s1a12m6m6m6d3s1a7
6:__a_6a_9a__aab_aa_a_b__aabaab_,s2a7d3m30s3a14s3d2m72a5m20m6a6s1d2d3
6:a__b__a_aa_10aa__a5_aa_a_3a_3b,a7d3m6s1m24m30s1s3s3a5d3a9m6m12d3s2a8
6:_a_4a_5a_5a4bbaa_3a_aa_a_aa_a_,d2a12m12a7a9m30s2d2d2m6m100a5m6d3s2s3
6:_a__a_16a__acb_a6_aa_ba_,a12s2a8s3m24m12s1d2d3m40a7s1d3s2m6a9
6:a_aa_4a_a_aa_a__ba_aa__aa_4a__a_aa__a,a7a8m25m6d2d2s4s1a7s1s1a11d3d3m36m20
6:_3a_3a4_a__a__aab_a3_a_6a_3aa_a_,a6m12a7m4d3s3m4a7s1s2m120s1d3a8d2d2s1
6:a3_10aa_5a_4aa_a_aa_aa_aa_baa,a6m6m48a7a8a5s1s1m12d2s1m4m24d2d2s1s4
6:_a_a_20a_ba4_a8b_,s1a5d2m120s1m6m3d2s2a6d2m12s1d2a8a6d2
6:_aa__a__a_13a_ba4_3a__a7,s2d3a7m6m40d2d3s1s2a8m6a8s2a6d3m40d3
6:a__b__a__a_9a__a__aa_abab_a__a_3aa,a9d2s3s4s1m6d2a7s1m60a5m4a9s3d3m48d2
6:ab__a_7a_8a_3aba_a_b__a3caa,s1m30s1a7s1m12d2m48m5s2m30a14a7a5s2
6:_3a_5a__b_a_4a_3b__b__ba3_aa__a_a_,a9s2d2d3s2m10m48m6d2a8s3m36d2a5a9s2s4
6:_aa_3a_4aa__a_3a__ba__a_3a_a_aa__aa_a_,s2m6a8d2m12a8s3a5m4m6a7s2s1s3a5d3m6s2
6:aa__a_3a_3a_7a_a_aa_4a_3a4ba3,a7a8s1d3s1d2d2a7m8m10d3s1s2m12a6s2m12
6:_a_3a_3a3_7a_abaa_3a__aa_a3_aa__,d3a9a9d2s1d2m60m6m90a6m6d2d3s1a5s3s2
6:_a_a_3a__a_3a_3a_a7_a3_10aa,m12m6m12s1m6a8s1a9m30d3s1s3a6d3d2s1a6d2
6:a_b__a_5a_5a_3a__baa_ba_3a_3a3b,d2d2m40m24a10d3s1s1s2m2m12a6a7a6s2d2
6:aa_3a_4a_3a_5a__a6_aa_3b_aab_,m30a9m4d2s3d2s2s2d3a11a6m40m8s1a9s2
6:ac__a_3a_a_b_3a_a_b__a_3a_a__a_4aa_a,s1m24a9d2a9s1m12d3d2s3s3m24d2m72a8a6
6:_aa__a_a_a_10a_aa_c_a__aa__a_a5,s2m36s1a6d2a10d3a9d2m50s1s2m12m6a6d3
6:_a_aa__aa__b_3a_3ba_b_3a_4a_4a5,m6a10s1m15a9d3d2d3s1m30a9s1a6s2d2m12
6:_4a_5aa__aa_4a_3aab_aa__b__b__aa_a,a6d3s1d3m30a8m6d2a9s1m6s2a12s1m4s1d2
6:a_a3ba3_3a5__a_5a_5a_4aa_a_,s2m72a7m75d2d3a12m12a8d3m24s2a6s2s3d3
6:_bab_aa__aa__a_3a_a_b_3a_10a_aab,d3m120s1m40s2m6a9s4m48d2d2a11s2a6a9d2
6:_aa_a_11c__aa_aa_3a_3a__aa_a_baa,d3s2d2s1s2d3m20s3a5a9m6m12m60a7s1d2a6
6:aa__a_3ba_10acaa__a_3a_a3_aa_a_,m75a5s4m6s1m180a5d2d3m12s1a9s1d3d2a12
6:_a_a_3ba_3a_3a_aab_a_aa_a__a_5b__b_,d3d2m12s1m72a15s3a11m6s3d2a9s4a11d2m12
6:_aa_aa_a_a_a_a_3a__ba_4a_4a_aa__aa_a_,a9m3s4a6d2m5d2a7m96d2a14s3d3d2s2m24s3
6:__a_3a_a__a_3a_abab_aa_a__a_3a_a_3a_4,d3m6s1a7a5s2a7d3a6d2m24s3m30m15d2s1d2s1
6:aa_a_11a_3a__aa_aa_a4_a__b__ba_,d3s1m90m12s1a7d2m6d2m6s2a8m24a6a7s1s3
6:aa_a_3a_4a_3a_b_a_3a_6a_a5_a3,d3s4a6s2m12s1s3m6m30s3a6d3d2a8m36a9d2
6:aababa_10baa__a_3a_3a_3a__aa_aa,a8a8m4s3s1m6d3d2d3a9m30s4s2s3m90a6d3
6:a__aa_11babaab_3a_aa_aa__aa_aa_,a9m72s4s1m18m12s2a8a6d2a9d2d2d2m12s1
6:__a__a__a__b_5a_3ba__b__a_a_aa_a_a4,d2m10a12d2m6a4s1d2m40a9s4s4s2d3m12a6
6:a__a_5b_aa__a_3a_aa_aa__a_3a__a3_aa_,m12s1d3a5d2m360s2m12a6m12d2s1a7s2a7d3d3
6:_a__a_3a_4a__a4caa_5a__aa_aa_aa__,m36a9s4d2d2a7m40a10s4d2s1m18d3s1m5a9
6:b_b_4aa_3a_3a_3a_ab__bac_4a_3ba,m24s1s2m15a13m16a12m40a10a9s1s4d3d3
6:__aa__a_3a__a_10baba3_a_3a__a_aa_,s3a6a9m5d2d2m24s2a8s2m20a6d2d3m6s2s3m15
6:_aa_12a_6a_3ba_aa_a_aa_aacaa,m90d3s4s2a8a5s2d2d2a5m24m6m90s3s2a8d2
6:aa_a_3a_ba_3a__a3__a_6a__a_aa_aa_a_,m6a11d3s2s1d3a7a11s1d2m6a5s2m6m10s2d3
6:a3__a_10a_3a_4b__a5_aa_a3b,d2m24a6a8d2a9a9s1d3s2m24m8s1s1m6s2
6:_a_a__aa_11a_a3_baa_a4_3a__ab,m6s1m60d2a9m6a7d2d2a10s3s2m18s1s2a5
6:a_10ab_a_7a__a_aa_b_aa__b__baa,s2a6d2a9m12a7s2d2m3s1d2s1a9d2m20d3m20
