6:a_3a_5a3_b_3a_a__a_3a_a__b_aa__b__a,a7a6m12d2a7m18s4m24s3d3m12s2a5d2m15s1d3
6:_b__a_3a_5a_4aa_baa__a__a3_c__aa__,s3m12m72s2m24d3a7a14d2s1d2m12a10a7m6s1
6:a_bab_3a_3aa__aa__aa__a_aa_3aa_3a_3a,d3m80m60d2a10d3s1s1s1s1a5m30a6a5m10d2
6:_a_3a__a_6a_a4b_a_3a__a_abba4,s2d3a5a11s3m6s4m20m144a5d3m36m90s3a7
6:_3a_5a__b_a__aa_ab__b__ba__a_3b_a_a_,m6a8d2s2m10a10a17s1m30d2m96a9s4d3d2s2
6:a_a_a3_a3_7aa_a_a__a4_3a__a4,s4m12m24s1m24a7a8a7s1m36s2s1m80a6d2
6:aa_aa_3aa_3a_6a_3aa_aa__a_3aa__b__a,m4a7a5s2m30d3m8d2s1d3m6d3s3s2s1m24a6a7
6:a_a_3a_12ba5_a4_3a_3a_ba_,m5m10s2m18d2d2m2s1s2s3a7a9s3m36a5a7a9
6:b__b_3aa_3a_6a_4aa__a_3aa__b__baa,a14m6s1d2m24m2d2d2s1s2s4a8a9m6a7s1d2
6:a__a_5a_3a_4a_a6__b_3aa__ba3_,m48m10d3a9a7m20s3s4d3s1a7d3m2s2a12s2
6:ba__a_b_a_aa__aa_aa_a_a3__a_a_a_3a__a,a28m10s1m12a9m15a7m20s4s2d3s2m6a5
6:_3b_3b_13a_aa_aa_a6__aa_aa,d2a6m30m6d3s2s1s1d2a7s2a8m24s1m50a5d2
6:a_a_6a3b_a__a4_aa__a_3a_a_a_ca_,m6s1a10a11d2m50a10s1m16m15m9s3a13s2
6:a4_5a_4aa_b_baa__a_3ab_aa_4a_3,a5m18m80s1s4d2a5s1d3s2a7d2m60a4d3m120
6:aaba_9a_a_3a_a_aa_a_3a__a_aa_a3_,s2d2s2d3m72d2s1m30s1m4s2d3m4a9a5a13a7
6:aaba_4a__a_3a__ab_aa_b_a_7a_a_aa_,s4a6m18s2m144d2d2m24s2d3s4a6a9s3m2a12
6:_aa_8a__a_6a__ba4_a_aa_b_a4,a8d2m20d3s1m30m18s2d3a6s3s1a9a7d3m100
6:_3b__a_aa__aa_a__a4b_aa_12aa_a,m6s1m6a14s2d3a5d3s1s2d2m10s1a7a5m24d2
6:_4a_3ba_11aa_a_aa_aa_aa_a__aa_aa,m6a7a9s2d3a7s1s1m6m12s3d2a7s2m20d3m15d2
6:a4_b_aa_a__aa_ab__aa_a_a__a_9a__,m16d2s3a14a13d3a8m12d3s3m6s2m4d3s2a6
6:cb_3a_6a__a_aa_4a_3a3__a_3a_aab,m180s2m20a8d2d3d3d2a9a6m30a9s4s1m12s3
6:_aa__a_19a5b_aa_a7,s2s4m12m6a9m4s1d2s1m6s2a6d2a7a7m50d2
